indicator,country_name,unit,FINAL_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Final consumption expenditure of general government,Estonia,"Chain linked volumes, index 2010=100",EST_GCR_ESTAT,77.265,78.652,81.78,84.9,86.962,89.509,93.777,99.428,103.982,100.685,100,102.394,105.649,108.589,110.085,113.497,116.393,118.618,119.951,123.899,128.769,133.642,131.565,132.365,134.747,NA
Final consumption expenditure of general government,Ireland,"Chain linked volumes, index 2010=100",IRL_GCR_ESTAT,74.565,82.059,87.589,90.215,91.743,95.777,100.405,107.014,107.873,104.81,100,102.156,99.737,97.544,100.368,103.161,107.755,112.305,118.604,125.355,138.314,147.828,153.276,163.026,170.902,NA
Final consumption expenditure of general government,Greece,"Chain linked volumes, index 2010=100",GRC_GCR_ESTAT,76.967,80.68,82.538,86.25,89.77,93.008,99.743,104.625,102.102,104.399,100,92.784,88.258,82.697,81.886,83.843,84.091,83.14,80.358,81.996,84.482,86.023,86.007,88.431,86.173,NA
Final consumption expenditure of general government,Spain,"Chain linked volumes, index 2010=100",ESP_GCR_ESTAT,66.9,69.234,71.841,74.999,79.54,83.35,86.739,91.171,95.684,99.304,100,100.559,96.658,94.462,93.956,95.768,96.611,97.533,99.583,101.762,105.337,109.157,109.991,114.946,118.319,120.443
Final consumption expenditure of general government,France,"Chain linked volumes, index 2010=100",FRA_GCR_ESTAT,84.732,85.446,86.875,88.841,90.702,92.137,93.381,95.047,96.089,98.765,100,101.444,103.094,104.798,106.168,107.316,108.978,110.771,111.69,112.84,108.021,115.183,118.266,119.918,121.646,NA
Final consumption expenditure of general government,Croatia,"Chain linked volumes, index 2010=100",HRV_GCR_ESTAT,76.784,74.326,79.496,81.147,83.763,86.315,91.965,97.863,98.66,100.56,100,102.068,100.799,101.588,103.29,102.71,103.776,105.852,107.595,110.92,114.74,117.997,120.604,128.585,137.983,NA
Final consumption expenditure of general government,Italy,"Chain linked volumes, index 2010=100",ITA_GCR_ESTAT,90.177,95.123,96.393,97.709,98.508,99.026,98.401,98.765,100.133,100.457,100,97.749,95.469,94.44,93.873,93.775,94.96,95.225,95.207,94.798,95.12,97.321,98.118,99.174,100.121,NA
Final consumption expenditure of general government,Cyprus,"Chain linked volumes, index 2010=100",CYP_GCR_ESTAT,64.466,69.403,72.926,78.554,77.348,79.31,85.228,88.249,93.801,99.676,100,101.803,99.451,94.64,87.765,88.949,89.271,90.669,94.012,104.34,115.775,126.032,132.01,136.757,138.979,NA
Final consumption expenditure of general government,Latvia,"Chain linked volumes, index 2010=100",LVA_GCR_ESTAT,89.427,94.052,98.229,102.579,105.33,106.684,113.882,118.399,121.791,108.88,100,101.746,101.505,103.574,107.687,109.654,112.403,116.633,118.902,125.585,130.516,135.292,135.767,139.117,138.515,NA
Final consumption expenditure of general government,Lithuania,"Chain linked volumes, index 2010=100",LTU_GCR_ESTAT,86.636,87.896,89.737,92.762,96.62,100.057,102.162,104.053,104.299,102.928,100,99.681,100.987,101.727,102.014,102.174,102.316,101.987,102.197,101.895,100.47,101.667,103.549,103.516,105.136,NA
