indicator,country_name,unit,FINAL_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Final consumption expenditure of general government,Belgium,"Current prices, million units of national currency",BEL_GCN_ESTAT,53942.1,56339.3,60495.8,63226.1,65885.7,68499.7,71334.3,74276.3,79726.6,83900.3,86241.8,90394.6,93810.7,95515.1,97625.9,98372.2,99913.5,102499,106380.4,110062.6,112398.9,120271.7,131608.5,140872.6,147785.5,NA
Final consumption expenditure of general government,Bulgaria,"Current prices, million units of national currency",BGR_GCN_ESTAT,2845.1,3068.6,3340.7,3767.2,4078.8,4364,4974,5417.7,6387.6,6263.4,6318.7,6574.5,6672.4,7184.2,7242.3,7368.4,7599.8,8182.1,9228.6,10283,11953.7,13479.7,15734.7,17445.8,20699.2,NA
Final consumption expenditure of general government,Czechia,"Current prices, million units of national currency",CZE_GCN_ESTAT,471844,508510,570559,626046,643332,674903,711146,746171,781979,825042,827181,810622,801308,822342,845563,880166,915004,964952,1054085,1140599,1249510,1318715,1381445,1500921,1609627,NA
Final consumption expenditure of general government,Denmark,"Current prices, million units of national currency",DNK_GCN_ESTAT,316837.6,333689,350776.2,359789.8,375560.8,389177.8,408025.8,424029,453008.8,481887,496373.4,491424.3,502817.4,503311.4,512711.8,520265.7,525878.9,537082.9,548674.7,559208.4,576101.4,613548.4,624468.8,636811,672153.9,NA
Final consumption expenditure of general government,Germany,"Current prices, million units of national currency",DEU_GCN_ESTAT,413966,422652,434366,438568,436826,440326,447752,456952,475217,498790,512022,523421,538870,561975,583523,605942,633891,657990,680525,717506,769045,817221,868210,905202,951782,1007836
Final consumption expenditure of general government,Estonia,"Current prices, million units of national currency",EST_GCN_ESTAT,1207.3,1296.7,1424.2,1562.9,1701,1914.1,2150.9,2608.6,3064.8,2902.6,2884.4,3063.7,3261,3527.3,3756.9,4041.3,4292.2,4592.8,4964.1,5442.9,5743.5,6265.9,6953.8,7792.9,8382.8,NA
Final consumption expenditure of general government,Ireland,"Current prices, million units of national currency",IRL_GCN_ESTAT,15998.6,18801.5,21496.1,23373.6,25261,27346.3,30005.9,33200.3,34932.8,33972.8,31244.5,32809.8,31977.2,30825.2,32087.3,33008.8,34623.1,36818.6,39404.8,42852.7,48004.7,52495.8,57140.9,63445.9,67926.2,NA
Final consumption expenditure of general government,Greece,"Current prices, million units of national currency",GRC_GCN_ESTAT,25791,28483,31430,33918,37108,39889,43911,47750,50189,55563,50341.9,45008.1,42008.1,37364.9,36668,36484.1,36177.7,36443.4,35733.8,37086.2,38183.7,39796.1,41188,43685.7,44006.5,NA
Final consumption expenditure of general government,Spain,"Current prices, million units of national currency",ESP_GCN_ESTAT,107716,115482,124088,134090,146983,160046,173555,189709,208274,220225,220650,218986,204987,202531,202404,209317,211850,215798,223673,234127,245553,259441,275811,293914,307800,322120
Final consumption expenditure of general government,France,"Current prices, million units of national currency",FRA_GCN_ESTAT,332531.2,342288.7,361855,379531,394321,409986.5,423187.5,438020.2,451773.7,470413.6,482412.9,494245.7,505817.9,516835.6,524758.8,529876.7,538314,554402.9,561627.8,572015.3,587447.4,625316.3,653543.8,682143.6,706020.5,NA
Final consumption expenditure of general government,Croatia,"Current prices, million units of national currency",HRV_GCN_ESTAT,5485.1,5372.6,5820.3,6215.9,6726.7,7204.8,7911,8955.7,9562.7,9975.2,9917.4,10281.2,10172,10172.7,10358.7,10322.1,10446,10840,11317.4,11912.4,12629,13461.6,14279,16551.1,19792.5,NA
Final consumption expenditure of general government,Italy,"Current prices, million units of national currency",ITA_GCN_ESTAT,221855,241767,252325,266794,280686,295313,304957,309847,323353,329825,334716,330543,325528,323354,321041,318892,326278,331415,335725,337134,346227,361824,376408,383037,397504,NA
Final consumption expenditure of general government,Cyprus,"Current prices, million units of national currency",CYP_GCN_ESTAT,1614.3,1837.7,1994,2323.6,2325.5,2483.1,2750.3,2934,3300.6,3570.6,3648.4,3844.7,3723.9,3379.6,2984.8,2980.4,2944.7,3053.7,3208.2,3752.3,4296.5,4823.7,5334.3,5982.3,6400.7,NA
Final consumption expenditure of general government,Latvia,"Current prices, million units of national currency",LVA_GCN_ESTAT,1351.2,1463.3,1666,1904.9,2052.7,2284.7,2754,3762.2,4637.4,3612.3,3286.2,3533.2,3626.5,3915.2,4121.6,4316.2,4416.3,4758.1,5123.6,5759.1,6128.8,7038.5,7475.3,8309.4,8824.2,NA
Final consumption expenditure of general government,Lithuania,"Current prices, million units of national currency",LTU_GCN_ESTAT,2995.1,3001.4,3125.9,3259.1,3495.5,3886.4,4605.5,5066.8,6100.8,5719.8,5582.1,5758.2,5854.1,5860.7,6064.9,6420.7,6583.9,6879.7,7432,8255.4,9232.1,9956.8,11468.9,12967.4,14868.2,NA
Final consumption expenditure of general government,Luxembourg,"Current prices, million units of national currency",LUX_GCN_ESTAT,3331.9,3661.6,3990.7,4293.2,4616.2,5021.3,5184.8,5431.3,5797.1,6279.8,6693.6,7111.6,7585.7,8027.1,8313.3,8645.5,8810.2,9434.6,10098.2,10742.9,11886.6,12602.3,13860.7,15110.4,16417.9,NA
Final consumption expenditure of general government,Hungary,"Current prices, million units of national currency",HUN_GCN_ESTAT,2824338,3246547,3811817,4402571,4648829,4998596,5353817,5348733,5824412,5839687,5881919,5878102,5786566,5985291,6556690,6890631,7221255,7924168,8539956,9573155,10344428,11551983,13653651,15398070,16753329,NA
Final consumption expenditure of general government,Malta,"Current prices, million units of national currency",MLT_GCN_ESTAT,727.4,804.7,844.3,895.8,924,934.1,994.7,1033.7,1212.1,1213.3,1275,1330.2,1432.7,1462.4,1598.1,1730.6,1840.6,1983.6,2192.4,2465,2828.2,3055.5,3165.1,3430.7,3906.2,NA
Final consumption expenditure of general government,Netherlands,"Current prices, million units of national currency",NLD_GCN_ESTAT,92704,100928,110735,117563,119681,123401,136316,144773,152765,163571,168710,168827,171023,171367,173826,173811,176489,181470,190649,202262,209743,226371,241898,263837,289662,306699
Final consumption expenditure of general government,Austria,"Current prices, million units of national currency",AUT_GCN_ESTAT,41486.2,42238.8,42972.7,44262.9,46048.1,49408.5,51920.1,53606.1,57057.3,59668,60872.7,62022,63674.8,64960,66531.4,68856.5,71049.8,72695,75207.7,78029.4,81044.3,88622.9,92283.8,98315,106712.2,NA
Final consumption expenditure of general government,Poland,"Current prices, million units of national currency",POL_GCN_ESTAT,135206,145686,151247,160184,170918,181615,198266,216080,240357,257352,276065,282726,292144,300216,311904,324003,332543,350781,375176,412303,445105,492997,561847,647134,760407,NA
Final consumption expenditure of general government,Portugal,"Current prices, million units of national currency",PRT_GCN_ESTAT,24144.4,26053.5,27787.5,29280.3,30999.8,33171,33680.4,34300.5,35250.5,37288.5,37011.4,34713.6,30857.1,32094.6,31819,32022.3,32784.9,33634,34768.9,36348,37961.8,40124.3,42456.4,45148.9,48827.2,NA
Final consumption expenditure of general government,Romania,"Current prices, million units of national currency",ROU_GCN_ESTAT,13634.4,18544,22573.2,30792.8,36036.7,46586.3,54579,65516.2,85726.8,85482.4,81187.8,79431.2,85542.1,90215.5,94839.6,99339.2,115143,133683.6,159541.4,186087.1,200757.7,211184.5,230631.4,273608.8,325699.3,NA
Final consumption expenditure of general government,Slovenia,"Current prices, million units of national currency",SVN_GCN_ESTAT,3481,3980.7,4390.4,4802.5,5197.9,5504.2,5865.9,6123.1,6895,7311.4,7426.8,7626,7364.1,7148.9,7100,7295.5,7691.1,7934.1,8369.1,8899.2,9683.7,10835.8,11085.1,12306.2,13745.9,NA
Final consumption expenditure of general government,Slovakia,"Current prices, million units of national currency",SVK_GCN_ESTAT,6620.1,7227.7,7648.7,8476.4,8811.9,9495.1,10924.7,11200.8,12392,13167.1,13573,13425.6,13624.6,13948.8,14431.8,15274,15840.7,16515.6,17174.7,18985.5,20035.2,21584.4,23367.1,25107.7,27493,NA
Final consumption expenditure of general government,Finland,"Current prices, million units of national currency",FIN_GCN_ESTAT,26932,28814,30593,31989,33624,35250,36835,38843,41888,43737,44586,46310,48506,50204,50821,51644,51562,51617,53536,56004,57768,61708,64318,70130,72031,NA
Final consumption expenditure of general government,Sweden,"Current prices, million units of national currency",SWE_GCN_ESTAT,589625,618123,660161,694207,706829,728352,766709,800024,838906,866897,892863,927335,961938,1002277,1042708,1095585,1164217,1205849,1260899,1299852,1333634,1410050,1497226,1622880,1694943,NA
Final consumption expenditure of general government,Iceland,"Current prices, million units of national currency",ISL_GCN_ESTAT,170193.7,192766.9,219206.7,231067.8,245530.1,269917.3,308074.9,342089.6,397792.6,424105.5,432303.7,454465.3,471655.4,493591.7,518123.9,557154.4,595410.9,642010.4,701331.5,759993.6,838202.6,914395.2,1008421.3,1101667.9,1187744,NA
Final consumption expenditure of general government,Liechtenstein,"Current prices, million units of national currency",LIE_GCN_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Final consumption expenditure of general government,Norway,"Current prices, million units of national currency",NOR_GCN_ESTAT,284676,313842,338267,356349,370927,386895,413106,440157,482485,524514,553027,584196,614804,648323,686825,723005,754667,791090,826653,866988,904650,970694,1034723,1116464,1183912,NA
Final consumption expenditure of general government,Switzerland,"Current prices, million units of national currency",CHE_GCN_ESTAT,54816,56611.2,58445.4,60038.4,60690,61828,62563.2,64208.4,67708.6,71457.9,72594.3,74276.9,75270.2,76998.1,78798.3,79461.4,80599.6,81899.2,83092.9,84819.7,87808.1,92242.9,93566.1,97946.5,101745.2,NA
Final consumption expenditure of general government,United Kingdom,"Current prices, million units of national currency",GBR_GCN_ESTAT,184211,198856,217030,238097,257860,275681,292961,305238,325840,341732,347575,348865,356448,359097,370199,374650,381987,387284,398421,423124,NA,NA,NA,NA,NA,NA
Final consumption expenditure of general government,Bosnia & Herzegovina,"Current prices, million units of national currency",BIH_GCN_ESTAT,2907.8,2967.4,3277.1,3357.8,3504.6,3822.4,4207,4753.2,5635,5818.1,5866.2,6056.8,6127,6112.5,6254.5,6355.6,6328.3,6413.1,6672.1,6927.6,7206.1,7594.8,8513.2,9547.8,10524.2,NA
Final consumption expenditure of general government,Montenegro,"Current prices, million units of national currency",MNE_GCN_ESTAT,NA,NA,NA,NA,NA,NA,421.9,545.4,710.5,668.4,702.1,699.8,681.5,666.6,695.4,739.6,806.9,823.7,894.8,919.1,981.2,986.8,1073.8,1262.7,1348.4,NA
Final consumption expenditure of general government,North Macedonia,"Current prices, million units of national currency",MKD_GCN_ESTAT,42097.1,60150.8,53661.4,48578,48870.6,49922.3,55285,62657.3,77099.9,79091.6,79984.2,84111.8,87031,87855,90289.7,94890,91777.3,92225.4,94397.6,96957.9,112029.3,115476.1,122592.7,134842.9,149889.9,NA
Final consumption expenditure of general government,Albania,"Current prices, million units of national currency",ALB_GCN_ESTAT,50235,61775.7,71229.6,77432.2,85083,91392.2,94751.6,104407.4,119073.3,134920.4,146846.7,155417.7,155579.2,159128.1,172151.3,169035.8,180159.6,187134.2,197083.1,217017.7,226328.9,241871,261072,286593,312711,NA
Final consumption expenditure of general government,Serbia,"Current prices, million units of national currency",SRB_GCN_ESTAT,108628.2,241025.7,320390.3,378388,387032.1,400622.6,473431.9,590180.7,664653.5,679620.1,720259.8,787007.8,852525.1,863783.4,862035.1,820436,821705.3,867596.9,951608.4,1041167.3,1117305.1,1233980.4,1369140.7,1510223.5,1705299.4,NA
Final consumption expenditure of general government,Turkey,"Current prices, million units of national currency",TUR_GCN_ESTAT,20598.8,31594.8,47125.8,60484,73282.5,84926.9,105590.2,122615.1,141128.9,164289.7,172743.7,198521,229652.8,261322.2,300573.4,317831,384039.8,444657.9,552404.1,670997.8,772901.7,969784.2,1811104.5,3585843.1,6445600.7,NA
Final consumption expenditure of general government,Ukraine,"Current prices, million units of national currency",UKR_GCN_ESTAT,31521,39920,41412,50589,60392,80156,99714,127942,168177,184109,209264,225707,261967,272271,296210,376315,443727,616621,739537,746939,814644,967099,2087072,2774179,NA,NA
Household and NPISH final consumption expenditure,Belgium,"Current prices, million units of national currency",BEL_PCR_ESTAT,134116.1,138526,140825.9,143956.1,149126.9,155602.7,162732.4,170591.9,178419.2,180099.5,190228.2,196479.4,203724.2,208504.6,212249.3,217398.6,224178.4,233086.8,241730.6,248825.6,233039,252604.9,289653.3,311156.6,322938.5,NA
Household and NPISH final consumption expenditure,Bulgaria,"Current prices, million units of national currency",BGR_PCR_ESTAT,9559.4,10868.3,11891.6,12737.3,14399.7,16530,18333.8,22247.1,24455.4,23564.3,24568,25979.9,27719.3,26272.1,27021.6,28428.4,29510.4,31632.8,33422.4,36179,35874.1,41318.8,49855.4,54489.6,60030.7,NA
Household and NPISH final consumption expenditure,Czechia,"Current prices, million units of national currency",CZE_PCR_ESTAT,1208400,1287118,1345235,1412797,1504240,1574030,1661090,1778704,1916606,1924967,2005645,2041557,2065160,2094489,2147390,2237695,2342192,2520344,2684748,2848112,2744536,2979988,3423701,3620896,3823760,NA
Household and NPISH final consumption expenditure,Denmark,"Current prices, million units of national currency",DNK_PCR_ESTAT,624481.6,642192.6,664035.7,680947.5,722252.4,763267.6,801949.7,831406.7,858907.6,838858,870260.2,892352.6,916386.9,937099.3,940717.8,960935.5,993187.3,1029939.2,1073741.4,1101811.6,1089667,1172407.7,1235907.4,1240915.5,1275815,NA
Household and NPISH final consumption expenditure,Germany,"Current prices, million units of national currency",DEU_PCR_ESTAT,1201814,1238791,1250939,1282424,1306221,1334453,1369999,1394366,1423468,1427145,1458929,1505962,1546258,1571749,1604736,1650306,1699336,1753780,1808497,1865115,1748769,1841679,2094029,2218511,2282962,2373994
Household and NPISH final consumption expenditure,Estonia,"Current prices, million units of national currency",EST_PCR_ESTAT,3357.4,3827.7,4336.1,4833.1,5419,6166.3,7345.9,8595.2,8859.2,7538.2,7728.5,8444.4,9269.3,9979.4,10465.9,10980.8,11631.2,12449.5,13498.9,14475.5,14156.3,15843.3,19164.8,20565,21282.1,NA
Household and NPISH final consumption expenditure,Ireland,"Current prices, million units of national currency",IRL_PCR_ESTAT,50909.7,55639.4,60602.4,64730.3,68387.3,74312.7,81029.2,89055.9,90610.5,80141.4,79102.7,78627.1,78932.3,80262.4,83246.4,86319.5,90457.8,94432.6,101144.1,105647.8,94820.9,106293.3,126634.4,143697.4,154119.3,NA
Household and NPISH final consumption expenditure,Greece,"Current prices, million units of national currency",GRC_PCR_ESTAT,89914.6,97421.9,104606.3,112338.6,120490.2,128010.5,134524,145669.7,156770,155326.2,149210.6,141387.9,129394.7,123271.4,120505.4,119397.1,118786,122196.2,125056,128410,119055.4,126337.4,146877.7,155442.8,162570.8,NA
Household and NPISH final consumption expenditure,Spain,"Current prices, million units of national currency",ESP_PCR_ESTAT,386194,415688,440229,465322,501503,539887,581510,621914,639994,611492,626405,625508,617155,605124,616417,634404,652537,682792,704368,720025,633624,693559,775799,830057,882611,938228
Household and NPISH final consumption expenditure,France,"Current prices, million units of national currency",FRA_PCR_ESTAT,793413.9,828481.4,853000.6,880589.6,916926.1,957087.1,1004310.7,1051555.3,1086786,1072827.7,1106397.2,1135429.5,1146393.5,1160706.7,1174088,1196047.6,1219209.6,1246646.7,1283910.2,1315980.4,1242136.8,1325106.9,1435352.6,1544768.5,1595291.8,NA
Household and NPISH final consumption expenditure,Croatia,"Current prices, million units of national currency",HRV_PCR_ESTAT,14909.8,16436,18406.6,19682.1,21019.4,22683.7,23812.8,25730.9,27951.1,26269.2,26237.7,27072.6,27262.7,27343.6,26578.2,26593.5,27132,28236.1,29606.3,31157.9,29713.4,33774,39918.8,44800.1,49121.5,NA
Household and NPISH final consumption expenditure,Italy,"Current prices, million units of national currency",ITA_PCR_ESTAT,746913.7,771574,794056.6,824247.5,852710.3,882545.5,918866.4,950514.9,970088.6,951476.3,976269.6,1006432.5,996210.5,984566.9,989832,1009503.8,1022652.2,1049068.7,1068463.8,1077801.1,966220.1,1037700.9,1166513.3,1231746.4,1257407.4,NA
Household and NPISH final consumption expenditure,Cyprus,"Current prices, million units of national currency",CYP_PCR_ESTAT,6558.7,7032.9,7335.3,7821.9,8518.4,9126.2,9829.1,11195.4,12689.8,11895.4,12805.2,13066.6,13036.2,12093.2,12007.3,12078.2,12456.5,13187.7,14163.5,14850.8,13765.6,14607.3,17144.7,18829.8,19915.1,NA
Household and NPISH final consumption expenditure,Latvia,"Current prices, million units of national currency",LVA_PCR_ESTAT,4221.9,4558,4992.4,5601.7,6622.1,8003.8,10276.9,12680,13185.5,10957.2,11102.2,11637.7,12604.6,13480,13707.9,13976.1,14623.1,15463,16447.6,16971.9,16201.3,17965.6,21475,22935.3,23745.9,NA
Household and NPISH final consumption expenditure,Lithuania,"Current prices, million units of national currency",LTU_PCR_ESTAT,8651.1,9226.4,9740.1,10672.8,11811.2,13492.8,15410.9,18350.6,21141.2,18225.9,17702.7,19200.5,20444.5,21384.4,22251,22944.7,24078.2,25767.1,27366.9,28751.4,28168.5,31851.5,38396.9,41637.7,43494,NA
Household and NPISH final consumption expenditure,Luxembourg,"Current prices, million units of national currency",LUX_PCR_ESTAT,9210,9747.5,10400.1,10911.3,11297.5,11608.5,12379.5,12944.8,13665.3,13831.2,14579.4,15257.3,15961.7,16334.3,16945.4,17614.9,18342.9,19306.2,20259.8,20993.6,19574.8,22151.4,24909.3,27081.7,28705.4,NA
Household and NPISH final consumption expenditure,Hungary,"Current prices, million units of national currency",HUN_PCR_ESTAT,7247747,8306582,9510948,10768077,11586337,12336487,12954937,13964209,14574153,14170851,14453617,15016344,15530913,15799349,16377244,17096388,18094240,19716195,21432243,23551718,24253760,27022680,33233765,37219901,42103357,NA
Household and NPISH final consumption expenditure,Malta,"Current prices, million units of national currency",MLT_PCR_ESTAT,2640.4,2752.3,2754.6,2944.6,3100.2,3297.1,3480.1,3623.6,3813,3832.9,4017,4270.8,4426.9,4634.2,4803,5043.7,5230.6,5617.4,6253.7,6738.2,6124.8,6858.9,7920.7,9495.4,10387.4,NA
Household and NPISH final consumption expenditure,Netherlands,"Current prices, million units of national currency",NLD_PCR_ESTAT,225287,237739,249214,255198,260558,267616,274712,285873,294904,285927,290857,300190,300662,304838,309660,316815,323097,337163,352300,364276,348703,380427,437447,471023,488252,507033
Household and NPISH final consumption expenditure,Austria,"Current prices, million units of national currency",AUT_PCR_ESTAT,113350.2,117852.6,119585.8,124129,128845.7,134822.2,140363.9,145607.2,150122.5,151884.2,156478.6,163168.5,168036.5,170938,174213.1,178621,184352.5,191370.9,197148.2,201984.5,188599.7,201703,228963.2,246995.1,257599.4,NA
Household and NPISH final consumption expenditure,Poland,"Current prices, million units of national currency",POL_PCR_ESTAT,479391,507084,541344,552329,601151,624474,665034,716249,798185,845950,900073,967519,1005360,1005984,1035130,1071722,1103607,1192228,1268446,1338128,1340118,1502813,1802763,1968759,2096452,NA
Household and NPISH final consumption expenditure,Portugal,"Current prices, million units of national currency",PRT_PCR_ESTAT,81498.5,85363.2,89473.6,92379.5,96959.2,102260.9,107485.6,113909,118731.5,113679.6,118450.2,116079.1,111963.4,111646.9,114534.3,117450.1,121508.1,125659.4,130983.6,136737.8,128047.1,137058.3,155215.3,166611.9,176306.7,NA
Household and NPISH final consumption expenditure,Romania,"Current prices, million units of national currency",ROU_PCR_ESTAT,55652.8,81192.5,104591,131490.3,171757.6,204014.6,235652.5,286728.2,344899.5,335126.1,348374.3,378544.2,401834.2,387649.7,408150.2,437396.4,466968.6,534845.2,607465.1,659953.8,651092.5,728843.1,875139.9,977935.7,1099448.6,NA
Household and NPISH final consumption expenditure,Slovenia,"Current prices, million units of national currency",SVN_PCR_ESTAT,10501.2,11547.6,12667.6,13844.6,14657.7,15292.3,15875.5,17646.6,19135.7,19493.7,20103.3,20658.5,20558,20050.3,20264.9,20582.4,21325.3,22197,23416.1,25049,23414.6,26935,30690.5,33024,34990.1,NA
Household and NPISH final consumption expenditure,Slovakia,"Current prices, million units of national currency",SVK_PCR_ESTAT,16949.9,18831.1,20502.1,21995.9,25197.3,27140.5,30303.3,33546.4,37491.6,37512.9,38362.4,39135.1,40695.2,40564.2,41532.6,42806.4,44228.5,47360.9,50241.3,52844.6,54205.2,57656,67473.9,72087.7,76829.4,NA
Household and NPISH final consumption expenditure,Finland,"Current prices, million units of national currency",FIN_PCR_ESTAT,65208,68763,71639,75339,78385,81737,86126,90864,95808,94766,98228,104418,107778,109843,111849,113898,116181,117900,120787,122478,118723,125257,134505,139960,141165,NA
Household and NPISH final consumption expenditure,Sweden,"Current prices, million units of national currency",SWE_PCR_ESTAT,1162762,1197000,1244435,1288901,1331701,1385835,1436697,1519157,1563188,1612235,1696742,1752181,1780674,1823615,1892031,1991284,2052532,2140474,2236047,2300307,2249509,2429525,2665339,2798083,2893019,NA
Household and NPISH final consumption expenditure,Iceland,"Current prices, million units of national currency",ISL_PCR_ESTAT,420275.4,441255,461858,494549.3,548003.2,619951.2,691006.7,772171,824793.9,837188.7,867262.8,918275.3,989580.2,1035402.9,1092045.2,1148021.4,1237686.1,1324303.5,1430782.5,1511870,1529018.8,1706929.2,1963171.9,2130094.1,2249981.1,NA
Household and NPISH final consumption expenditure,Liechtenstein,"Current prices, million units of national currency",LIE_PCR_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Household and NPISH final consumption expenditure,Norway,"Current prices, million units of national currency",NOR_PCR_ESTAT,639950,667510,697964,740692,790318,834554,891912,951214,1000752,1025885,1087050,1125089,1176605,1234388,1288402,1354268,1411418,1471657,1527962,1579019,1503954,1626348,1856500,1959015,2050693,NA
Household and NPISH final consumption expenditure,Switzerland,"Current prices, million units of national currency",CHE_PCR_ESTAT,268109.3,275551,274513.9,278951.5,286606.4,294812.2,303938.9,315226.3,325402,327640.2,335274.3,338394.5,342918.6,349297.5,351945.7,354958.7,358919.7,366780.1,371229.8,375004,359492.5,368464.5,395359.7,407117.8,421086.5,NA
Household and NPISH final consumption expenditure,United Kingdom,"Current prices, million units of national currency",GBR_PCR_ESTAT,728744,757181,785528,822779,863096,904886,943760,988366,1020924,997724,1028051,1065596,1103991,1153762,1197982,1233446,1292950,1334396,1385691,1420277,NA,NA,NA,NA,NA,NA
Household and NPISH final consumption expenditure,Bosnia & Herzegovina,"Current prices, million units of national currency",BIH_PCR_ESTAT,11934.1,12829.3,13678.9,14430.4,15600.3,16808.5,18093.8,19666.1,21958.1,21416.1,21796,22556.4,22956.2,23193.8,23575.6,23764.2,24001.2,24604,25422,26300.2,25511.6,27333.4,31502.2,34800.5,37035.8,NA
Household and NPISH final consumption expenditure,Montenegro,"Current prices, million units of national currency",MNE_PCR_ESTAT,NA,NA,NA,NA,NA,NA,2031.9,2364,2777.7,2439.2,2517.3,2627.7,2623,2710.8,2765.8,2836.8,3035.7,3218.9,3376.3,3511.8,3382.1,3641.6,4584.2,5304.4,6033.9,NA
Household and NPISH final consumption expenditure,North Macedonia,"Current prices, million units of national currency",MKD_PCR_ESTAT,187619.2,181455.2,200010,214278.1,227468.4,247359.8,264690.1,288407.9,326124.7,318212.8,330344.2,343080.1,344851.6,360115,368311.4,384798,398025.9,411980.7,435204.8,453725.6,442006.3,494433.1,567487.6,617930.9,644230.6,NA
Household and NPISH final consumption expenditure,Albania,"Current prices, million units of national currency",ALB_PCR_ESTAT,406650.3,432669.3,480759.3,537605.7,565876.7,616492,675883.9,800158.6,912907.3,938173.3,956379.8,1006349.9,1023982.8,1043765.4,1098225.9,1121567.3,1157238.2,1188637.1,1236881.7,1293381.4,1234594.6,1338304.4,1533994.8,1653900,1750224.4,NA
Household and NPISH final consumption expenditure,Serbia,"Current prices, million units of national currency",SRB_PCR_ESTAT,333599.4,666376.7,817510.3,923003.7,1156237,1394959.1,1669981.7,1910857.1,2207486.2,2311481.8,2474565.8,2751627.3,2893837.7,3035684.4,3100327.1,3144904.7,3248194.9,3430334.2,3581473.2,3762301.6,3725546.7,4205470.3,4901311.5,5520008.4,6047593.1,NA
Household and NPISH final consumption expenditure,Turkey,"Current prices, million units of national currency",TUR_PCR_ESTAT,114241,156085.7,228851.7,304587.5,371767.6,423905.7,481505.7,538980.2,597543,604240.3,712954.1,857903.3,946579.6,1073962.2,1193823.4,1359446.9,1503685.3,1769668.6,2037091.3,2366983.3,2762322,3871514.1,8152804.2,14637977.6,24199736.1,NA
Household and NPISH final consumption expenditure,Ukraine,"Current prices, million units of national currency",UKR_PCR_ESTAT,101170,122294,135518,158984,195224,270528,342136,455559,627050,616616,688319,868524,959196,1057361,1133749,1347314,1588601,2001505,2469755,2958119,3094144,3767172,3382196,4041895,NA,NA
Gross fixed capital formation,Belgium,"Current prices, million units of national currency",BEL_ITN_ESTAT,57702.8,59185.3,56554.2,57629.7,63703,68685.4,72591.5,80039.2,84833.9,78414.4,79689,86316.1,88540.8,87430.6,92496.2,96205.3,100774.7,104219.1,109244.1,116175.3,111457.3,121028.2,134341.6,145570.9,150401.5,NA
Gross fixed capital formation,Bulgaria,"Current prices, million units of national currency",BGR_ITN_ESTAT,2405.9,3052.3,3305.7,3710,4413.5,6169.8,7520.6,9183.7,12283.6,10394.8,8493.4,8644,8925.2,8908.4,9061.2,9553.2,8975.4,9609.7,10544.7,11454.9,11750.1,11616.4,14636.9,17703.1,19185.5,NA
Gross fixed capital formation,Czechia,"Current prices, million units of national currency",CZE_ITN_ESTAT,746447,803390,801454,828755,882501,938038,993804,1144129,1167085,1072552,1069618,1068820,1045045,1032888,1083151,1194421,1177309,1228924,1360492,1517682,1488282,1654963,1951952,2140174,2135611,NA
Gross fixed capital formation,Denmark,"Current prices, million units of national currency",DNK_ITN_ESTAT,284550.4,291798,290582.8,297817,311867.6,336657.5,392235.8,409610.8,415138.9,347677.4,326210.9,335462.8,355846.7,364010.9,382868.8,402039.9,441001.5,464858.2,488260.9,491905,516141.1,592515.7,653732.8,656014.8,682900.3,NA
Gross fixed capital formation,Germany,"Current prices, million units of national currency",DEU_ITN_ESTAT,487329,472991,442153,431667,431813,436406,472193,501203,516899,469819,501768,549605,558913,561175,590405,609619,640443,671086,714880,748216,736476,779975,861750,894143,885721,905840
Gross fixed capital formation,Estonia,"Current prices, million units of national currency",EST_ITN_ESTAT,1647,1916.6,2390.7,2864.6,3101.6,3727.7,4993.4,5968.8,5173.3,3204.9,3130.2,4412.4,5143.9,5276.2,5161.2,5053.5,5313.1,6177.3,7026.3,7577.9,8685.2,9430.4,9133.6,9745.1,9522.2,NA
Gross fixed capital formation,Ireland,"Current prices, million units of national currency",IRL_ITN_ESTAT,25759,29223.7,32086.1,36264.8,42112.5,50800.7,57299.4,56572.9,46525.1,35875.7,29422.5,28677.5,34446.9,33427.6,40503.5,66114.6,94123.4,100143.2,93499.2,193555.2,157989.2,99006.5,110101,130595.9,97633.6,NA
Gross fixed capital formation,Greece,"Current prices, million units of national currency",GRC_ITN_ESTAT,35316.6,37741.7,37939.3,43311.6,47311.2,41597.5,51553,58537.9,55579.3,47891.9,37608,28213,22827.5,20547.6,19779.5,19572.4,19832.1,21372.8,20465.7,20315.2,20607.1,25455.7,32544.5,35689.7,37971.3,NA
Gross fixed capital formation,Spain,"Current prices, million units of national currency",ESP_ITN_ESTAT,168191,181553,196263,217719,239314,269419,301950,321924,309886,248528,235617,215309,193835,180498,187322,198930,204287,221207,238502,254566,232798,249560,281890,306529,323455,349206
Gross fixed capital formation,France,"Current prices, million units of national currency",FRA_ITN_ESTAT,307691.6,319177.2,320974.5,332557.1,353422.7,374527.9,404237.7,437683.1,456366.9,415228.5,428800.2,447470.1,452237.8,450989.6,451387.7,452605.3,466924.7,490887.9,515244.8,545205.8,520133.8,588983.4,623311.7,645425.7,645205.8,NA
